Interesse per Ricerca Google: Big data
Stati Uniti 2004-2015

Interesse nel tempo
Settimana,Big data
2005-01-16 - 2005-01-22,2
2005-01-23 - 2005-01-29,2
2005-01-30 - 2005-02-05,3
2005-02-06 - 2005-02-12,3
2005-02-13 - 2005-02-19,3
2005-02-20 - 2005-02-26,4
2005-02-27 - 2005-03-05,7
2005-03-06 - 2005-03-12,5
2005-03-13 - 2005-03-19,2
2005-03-20 - 2005-03-26,2
2005-03-27 - 2005-04-02,3
2005-04-03 - 2005-04-09,2
2005-04-10 - 2005-04-16,2
2005-04-17 - 2005-04-23,2
2005-04-24 - 2005-04-30,2
2005-05-01 - 2005-05-07,2
2005-05-08 - 2005-05-14,2
2005-05-15 - 2005-05-21,3
2005-05-22 - 2005-05-28,4
2005-05-29 - 2005-06-04,2
2005-06-05 - 2005-06-11,2
2005-06-12 - 2005-06-18,2
2005-06-19 - 2005-06-25,2
2005-06-26 - 2005-07-02,3
2005-07-03 - 2005-07-09,4
2005-07-10 - 2005-07-16,5
2005-07-17 - 2005-07-23,2
2005-07-24 - 2005-07-30,3
2005-07-31 - 2005-08-06,2
2005-08-07 - 2005-08-13,2
2005-08-14 - 2005-08-20,2
2005-08-21 - 2005-08-27,3
2005-08-28 - 2005-09-03,1
2005-09-04 - 2005-09-10,3
2005-09-11 - 2005-09-17,5
2005-09-18 - 2005-09-24,2
2005-09-25 - 2005-10-01,3
2005-10-02 - 2005-10-08,1
2005-10-09 - 2005-10-15,3
2005-10-16 - 2005-10-22,1
2005-10-23 - 2005-10-29,1
2005-10-30 - 2005-11-05,2
2005-11-06 - 2005-11-12,2
2005-11-13 - 2005-11-19,2
2005-11-20 - 2005-11-26,2
2005-11-27 - 2005-12-03,1
2005-12-04 - 2005-12-10,1
2005-12-11 - 2005-12-17,4
2005-12-18 - 2005-12-24,1
2005-12-25 - 2005-12-31,2
2006-01-01 - 2006-01-07,4
2006-01-08 - 2006-01-14,2
2006-01-15 - 2006-01-21,2
2006-01-22 - 2006-01-28,3
2006-01-29 - 2006-02-04,4
2006-02-05 - 2006-02-11,2
2006-02-12 - 2006-02-18,1
2006-02-19 - 2006-02-25,2
2006-02-26 - 2006-03-04,2
2006-03-05 - 2006-03-11,1
2006-03-12 - 2006-03-18,2
2006-03-19 - 2006-03-25,1
2006-03-26 - 2006-04-01,3
2006-04-02 - 2006-04-08,2
2006-04-09 - 2006-04-15,2
2006-04-16 - 2006-04-22,2
2006-04-23 - 2006-04-29,2
2006-04-30 - 2006-05-06,2
2006-05-07 - 2006-05-13,3
2006-05-14 - 2006-05-20,2
2006-05-21 - 2006-05-27,2
2006-05-28 - 2006-06-03,5
2006-06-04 - 2006-06-10,3
2006-06-11 - 2006-06-17,1
2006-06-18 - 2006-06-24,1
2006-06-25 - 2006-07-01,1
2006-07-02 - 2006-07-08,1
2006-07-09 - 2006-07-15,1
2006-07-16 - 2006-07-22,1
2006-07-23 - 2006-07-29,3
2006-07-30 - 2006-08-05,2
2006-08-06 - 2006-08-12,1
2006-08-13 - 2006-08-19,2
2006-08-20 - 2006-08-26,1
2006-08-27 - 2006-09-02,2
2006-09-03 - 2006-09-09,1
2006-09-10 - 2006-09-16,2
2006-09-17 - 2006-09-23,2
2006-09-24 - 2006-09-30,2
2006-10-01 - 2006-10-07,2
2006-10-08 - 2006-10-14,1
2006-10-15 - 2006-10-21,2
2006-10-22 - 2006-10-28,2
2006-10-29 - 2006-11-04,2
2006-11-05 - 2006-11-11,3
2006-11-12 - 2006-11-18,1
2006-11-19 - 2006-11-25,1
2006-11-26 - 2006-12-02,2
2006-12-03 - 2006-12-09,1
2006-12-10 - 2006-12-16,1
2006-12-17 - 2006-12-23,1
2006-12-24 - 2006-12-30,1
2006-12-31 - 2007-01-06,2
2007-01-07 - 2007-01-13,2
2007-01-14 - 2007-01-20,2
2007-01-21 - 2007-01-27,2
2007-01-28 - 2007-02-03,3
2007-02-04 - 2007-02-10,2
2007-02-11 - 2007-02-17,1
2007-02-18 - 2007-02-24,2
2007-02-25 - 2007-03-03,1
2007-03-04 - 2007-03-10,2
2007-03-11 - 2007-03-17,1
2007-03-18 - 2007-03-24,2
2007-03-25 - 2007-03-31,1
2007-04-01 - 2007-04-07,2
2007-04-08 - 2007-04-14,1
2007-04-15 - 2007-04-21,2
2007-04-22 - 2007-04-28,1
2007-04-29 - 2007-05-05,1
2007-05-06 - 2007-05-12,2
2007-05-13 - 2007-05-19,2
2007-05-20 - 2007-05-26,3
2007-05-27 - 2007-06-02,1
2007-06-03 - 2007-06-09,1
2007-06-10 - 2007-06-16,1
2007-06-17 - 2007-06-23,2
2007-06-24 - 2007-06-30,3
2007-07-01 - 2007-07-07,1
2007-07-08 - 2007-07-14,1
2007-07-15 - 2007-07-21,1
2007-07-22 - 2007-07-28,1
2007-07-29 - 2007-08-04,2
2007-08-05 - 2007-08-11,1
2007-08-12 - 2007-08-18,1
2007-08-19 - 2007-08-25,2
2007-08-26 - 2007-09-01,1
2007-09-02 - 2007-09-08,2
2007-09-09 - 2007-09-15,2
2007-09-16 - 2007-09-22,1
2007-09-23 - 2007-09-29,1
2007-09-30 - 2007-10-06,1
2007-10-07 - 2007-10-13,1
2007-10-14 - 2007-10-20,2
2007-10-21 - 2007-10-27,2
2007-10-28 - 2007-11-03,2
2007-11-04 - 2007-11-10,1
2007-11-11 - 2007-11-17,1
2007-11-18 - 2007-11-24,2
2007-11-25 - 2007-12-01,2
2007-12-02 - 2007-12-08,1
2007-12-09 - 2007-12-15,2
2007-12-16 - 2007-12-22,1
2007-12-23 - 2007-12-29,1
2007-12-30 - 2008-01-05,2
2008-01-06 - 2008-01-12,2
2008-01-13 - 2008-01-19,1
2008-01-20 - 2008-01-26,2
2008-01-27 - 2008-02-02,1
2008-02-03 - 2008-02-09,1
2008-02-10 - 2008-02-16,1
2008-02-17 - 2008-02-23,2
2008-02-24 - 2008-03-01,2
2008-03-02 - 2008-03-08,1
2008-03-09 - 2008-03-15,2
2008-03-16 - 2008-03-22,2
2008-03-23 - 2008-03-29,2
2008-03-30 - 2008-04-05,1
2008-04-06 - 2008-04-12,1
2008-04-13 - 2008-04-19,2
2008-04-20 - 2008-04-26,2
2008-04-27 - 2008-05-03,1
2008-05-04 - 2008-05-10,2
2008-05-11 - 2008-05-17,1
2008-05-18 - 2008-05-24,1
2008-05-25 - 2008-05-31,1
2008-06-01 - 2008-06-07,1
2008-06-08 - 2008-06-14,1
2008-06-15 - 2008-06-21,1
2008-06-22 - 2008-06-28,2
2008-06-29 - 2008-07-05,1
2008-07-06 - 2008-07-12,3
2008-07-13 - 2008-07-19,1
2008-07-20 - 2008-07-26,2
2008-07-27 - 2008-08-02,1
2008-08-03 - 2008-08-09,2
2008-08-10 - 2008-08-16,1
2008-08-17 - 2008-08-23,1
2008-08-24 - 2008-08-30,2
2008-08-31 - 2008-09-06,1
2008-09-07 - 2008-09-13,3
2008-09-14 - 2008-09-20,1
2008-09-21 - 2008-09-27,1
2008-09-28 - 2008-10-04,2
2008-10-05 - 2008-10-11,2
2008-10-12 - 2008-10-18,3
2008-10-19 - 2008-10-25,2
2008-10-26 - 2008-11-01,1
2008-11-02 - 2008-11-08,1
2008-11-09 - 2008-11-15,1
2008-11-16 - 2008-11-22,2
2008-11-23 - 2008-11-29,2
2008-11-30 - 2008-12-06,2
2008-12-07 - 2008-12-13,1
2008-12-14 - 2008-12-20,1
2008-12-21 - 2008-12-27,2
2008-12-28 - 2009-01-03,1
2009-01-04 - 2009-01-10,1
2009-01-11 - 2009-01-17,1
2009-01-18 - 2009-01-24,1
2009-01-25 - 2009-01-31,1
2009-02-01 - 2009-02-07,1
2009-02-08 - 2009-02-14,2
2009-02-15 - 2009-02-21,1
2009-02-22 - 2009-02-28,2
2009-03-01 - 2009-03-07,1
2009-03-08 - 2009-03-14,2
2009-03-15 - 2009-03-21,2
2009-03-22 - 2009-03-28,2
2009-03-29 - 2009-04-04,1
2009-04-05 - 2009-04-11,1
2009-04-12 - 2009-04-18,2
2009-04-19 - 2009-04-25,2
2009-04-26 - 2009-05-02,1
2009-05-03 - 2009-05-09,1
2009-05-10 - 2009-05-16,3
2009-05-17 - 2009-05-23,2
2009-05-24 - 2009-05-30,2
2009-05-31 - 2009-06-06,2
2009-06-07 - 2009-06-13,2
2009-06-14 - 2009-06-20,1
2009-06-21 - 2009-06-27,3
2009-06-28 - 2009-07-04,1
2009-07-05 - 2009-07-11,1
2009-07-12 - 2009-07-18,1
2009-07-19 - 2009-07-25,1
2009-07-26 - 2009-08-01,2
2009-08-02 - 2009-08-08,2
2009-08-09 - 2009-08-15,1
2009-08-16 - 2009-08-22,2
2009-08-23 - 2009-08-29,2
2009-08-30 - 2009-09-05,2
2009-09-06 - 2009-09-12,2
2009-09-13 - 2009-09-19,2
2009-09-20 - 2009-09-26,2
2009-09-27 - 2009-10-03,2
2009-10-04 - 2009-10-10,3
2009-10-11 - 2009-10-17,1
2009-10-18 - 2009-10-24,1
2009-10-25 - 2009-10-31,2
2009-11-01 - 2009-11-07,2
2009-11-08 - 2009-11-14,1
2009-11-15 - 2009-11-21,1
2009-11-22 - 2009-11-28,2
2009-11-29 - 2009-12-05,2
2009-12-06 - 2009-12-12,1
2009-12-13 - 2009-12-19,1
2009-12-20 - 2009-12-26,1
2009-12-27 - 2010-01-02,2
2010-01-03 - 2010-01-09,1
2010-01-10 - 2010-01-16,2
2010-01-17 - 2010-01-23,2
2010-01-24 - 2010-01-30,2
2010-01-31 - 2010-02-06,2
2010-02-07 - 2010-02-13,3
2010-02-14 - 2010-02-20,3
2010-02-21 - 2010-02-27,2
2010-02-28 - 2010-03-06,2
2010-03-07 - 2010-03-13,3
2010-03-14 - 2010-03-20,2
2010-03-21 - 2010-03-27,3
2010-03-28 - 2010-04-03,2
2010-04-04 - 2010-04-10,2
2010-04-11 - 2010-04-17,4
2010-04-18 - 2010-04-24,2
2010-04-25 - 2010-05-01,2
2010-05-02 - 2010-05-08,3
2010-05-09 - 2010-05-15,3
2010-05-16 - 2010-05-22,3
2010-05-23 - 2010-05-29,2
2010-05-30 - 2010-06-05,2
2010-06-06 - 2010-06-12,3
2010-06-13 - 2010-06-19,2
2010-06-20 - 2010-06-26,2
2010-06-27 - 2010-07-03,2
2010-07-04 - 2010-07-10,2
2010-07-11 - 2010-07-17,1
2010-07-18 - 2010-07-24,2
2010-07-25 - 2010-07-31,4
2010-08-01 - 2010-08-07,2
2010-08-08 - 2010-08-14,2
2010-08-15 - 2010-08-21,2
2010-08-22 - 2010-08-28,3
2010-08-29 - 2010-09-04,2
2010-09-05 - 2010-09-11,2
2010-09-12 - 2010-09-18,3
2010-09-19 - 2010-09-25,3
2010-09-26 - 2010-10-02,3
2010-10-03 - 2010-10-09,2
2010-10-10 - 2010-10-16,3
2010-10-17 - 2010-10-23,3
2010-10-24 - 2010-10-30,3
2010-10-31 - 2010-11-06,2
2010-11-07 - 2010-11-13,4
2010-11-14 - 2010-11-20,3
2010-11-21 - 2010-11-27,3
2010-11-28 - 2010-12-04,3
2010-12-05 - 2010-12-11,3
2010-12-12 - 2010-12-18,3
2010-12-19 - 2010-12-25,3
2010-12-26 - 2011-01-01,3
2011-01-02 - 2011-01-08,2
2011-01-09 - 2011-01-15,4
2011-01-16 - 2011-01-22,4
2011-01-23 - 2011-01-29,5
2011-01-30 - 2011-02-05,5
2011-02-06 - 2011-02-12,6
2011-02-13 - 2011-02-19,5
2011-02-20 - 2011-02-26,4
2011-02-27 - 2011-03-05,6
2011-03-06 - 2011-03-12,5
2011-03-13 - 2011-03-19,5
2011-03-20 - 2011-03-26,8
2011-03-27 - 2011-04-02,5
2011-04-03 - 2011-04-09,4
2011-04-10 - 2011-04-16,6
2011-04-17 - 2011-04-23,5
2011-04-24 - 2011-04-30,6
2011-05-01 - 2011-05-07,5
2011-05-08 - 2011-05-14,9
2011-05-15 - 2011-05-21,8
2011-05-22 - 2011-05-28,8
2011-05-29 - 2011-06-04,6
2011-06-05 - 2011-06-11,7
2011-06-12 - 2011-06-18,8
2011-06-19 - 2011-06-25,8
2011-06-26 - 2011-07-02,8
2011-07-03 - 2011-07-09,6
2011-07-10 - 2011-07-16,9
2011-07-17 - 2011-07-23,9
2011-07-24 - 2011-07-30,8
2011-07-31 - 2011-08-06,8
2011-08-07 - 2011-08-13,9
2011-08-14 - 2011-08-20,8
2011-08-21 - 2011-08-27,9
2011-08-28 - 2011-09-03,8
2011-09-04 - 2011-09-10,11
2011-09-11 - 2011-09-17,10
2011-09-18 - 2011-09-24,11
2011-09-25 - 2011-10-01,11
2011-10-02 - 2011-10-08,13
2011-10-09 - 2011-10-15,13
2011-10-16 - 2011-10-22,13
2011-10-23 - 2011-10-29,14
2011-10-30 - 2011-11-05,14
2011-11-06 - 2011-11-12,16
2011-11-13 - 2011-11-19,17
2011-11-20 - 2011-11-26,8
2011-11-27 - 2011-12-03,20
2011-12-04 - 2011-12-10,16
2011-12-11 - 2011-12-17,13
2011-12-18 - 2011-12-24,13
2011-12-25 - 2011-12-31,10
2012-01-01 - 2012-01-07,17
2012-01-08 - 2012-01-14,18
2012-01-15 - 2012-01-21,19
2012-01-22 - 2012-01-28,20
2012-01-29 - 2012-02-04,24
2012-02-05 - 2012-02-11,21
2012-02-12 - 2012-02-18,34
2012-02-19 - 2012-02-25,26
2012-02-26 - 2012-03-03,29
2012-03-04 - 2012-03-10,27
2012-03-11 - 2012-03-17,26
2012-03-18 - 2012-03-24,28
2012-03-25 - 2012-03-31,32
2012-04-01 - 2012-04-07,36
2012-04-08 - 2012-04-14,34
2012-04-15 - 2012-04-21,34
2012-04-22 - 2012-04-28,37
2012-04-29 - 2012-05-05,38
2012-05-06 - 2012-05-12,39
2012-05-13 - 2012-05-19,37
2012-05-20 - 2012-05-26,35
2012-05-27 - 2012-06-02,36
2012-06-03 - 2012-06-09,41
2012-06-10 - 2012-06-16,35
2012-06-17 - 2012-06-23,38
2012-06-24 - 2012-06-30,34
2012-07-01 - 2012-07-07,28
2012-07-08 - 2012-07-14,35
2012-07-15 - 2012-07-21,32
2012-07-22 - 2012-07-28,36
2012-07-29 - 2012-08-04,35
2012-08-05 - 2012-08-11,35
2012-08-12 - 2012-08-18,38
2012-08-19 - 2012-08-25,38
2012-08-26 - 2012-09-01,36
2012-09-02 - 2012-09-08,35
2012-09-09 - 2012-09-15,44
2012-09-16 - 2012-09-22,45
2012-09-23 - 2012-09-29,46
2012-09-30 - 2012-10-06,48
2012-10-07 - 2012-10-13,49
2012-10-14 - 2012-10-20,45
2012-10-21 - 2012-10-27,50
2012-10-28 - 2012-11-03,47
2012-11-04 - 2012-11-10,51
2012-11-11 - 2012-11-17,54
2012-11-18 - 2012-11-24,35
2012-11-25 - 2012-12-01,47
2012-12-02 - 2012-12-08,55
2012-12-09 - 2012-12-15,48
2012-12-16 - 2012-12-22,42
2012-12-23 - 2012-12-29,26
2012-12-30 - 2013-01-05,38
2013-01-06 - 2013-01-12,52
2013-01-13 - 2013-01-19,50
2013-01-20 - 2013-01-26,52
2013-01-27 - 2013-02-02,57
2013-02-03 - 2013-02-09,53
2013-02-10 - 2013-02-16,55
2013-02-17 - 2013-02-23,55
2013-02-24 - 2013-03-02,62
2013-03-03 - 2013-03-09,67
2013-03-10 - 2013-03-16,70
2013-03-17 - 2013-03-23,68
2013-03-24 - 2013-03-30,69
2013-03-31 - 2013-04-06,69
2013-04-07 - 2013-04-13,67
2013-04-14 - 2013-04-20,65
2013-04-21 - 2013-04-27,76
2013-04-28 - 2013-05-04,69
2013-05-05 - 2013-05-11,65
2013-05-12 - 2013-05-18,66
2013-05-19 - 2013-05-25,61
2013-05-26 - 2013-06-01,59
2013-06-02 - 2013-06-08,72
2013-06-09 - 2013-06-15,71
2013-06-16 - 2013-06-22,71
2013-06-23 - 2013-06-29,68
2013-06-30 - 2013-07-06,49
2013-07-07 - 2013-07-13,64
2013-07-14 - 2013-07-20,66
2013-07-21 - 2013-07-27,62
2013-07-28 - 2013-08-03,61
2013-08-04 - 2013-08-10,61
2013-08-11 - 2013-08-17,64
2013-08-18 - 2013-08-24,64
2013-08-25 - 2013-08-31,63
2013-09-01 - 2013-09-07,64
2013-09-08 - 2013-09-14,71
2013-09-15 - 2013-09-21,66
2013-09-22 - 2013-09-28,73
2013-09-29 - 2013-10-05,72
2013-10-06 - 2013-10-12,75
2013-10-13 - 2013-10-19,72
2013-10-20 - 2013-10-26,76
2013-10-27 - 2013-11-02,75
2013-11-03 - 2013-11-09,76
2013-11-10 - 2013-11-16,76
2013-11-17 - 2013-11-23,75
2013-11-24 - 2013-11-30,53
2013-12-01 - 2013-12-07,63
2013-12-08 - 2013-12-14,62
2013-12-15 - 2013-12-21,58
2013-12-22 - 2013-12-28,37
2013-12-29 - 2014-01-04,47
2014-01-05 - 2014-01-11,66
2014-01-12 - 2014-01-18,75
2014-01-19 - 2014-01-25,72
2014-01-26 - 2014-02-01,76
2014-02-02 - 2014-02-08,74
2014-02-09 - 2014-02-15,78
2014-02-16 - 2014-02-22,77
2014-02-23 - 2014-03-01,80
2014-03-02 - 2014-03-08,84
2014-03-09 - 2014-03-15,84
2014-03-16 - 2014-03-22,80
2014-03-23 - 2014-03-29,83
2014-03-30 - 2014-04-05,83
2014-04-06 - 2014-04-12,86
2014-04-13 - 2014-04-19,80
2014-04-20 - 2014-04-26,81
2014-04-27 - 2014-05-03,83
2014-05-04 - 2014-05-10,85
2014-05-11 - 2014-05-17,78
2014-05-18 - 2014-05-24,76
2014-05-25 - 2014-05-31,71
2014-06-01 - 2014-06-07,83
2014-06-08 - 2014-06-14,80
2014-06-15 - 2014-06-21,81
2014-06-22 - 2014-06-28,79
2014-06-29 - 2014-07-05,70
2014-07-06 - 2014-07-12,86
2014-07-13 - 2014-07-19,81
2014-07-20 - 2014-07-26,82
2014-07-27 - 2014-08-02,87
2014-08-03 - 2014-08-09,86
2014-08-10 - 2014-08-16,86
2014-08-17 - 2014-08-23,83
2014-08-24 - 2014-08-30,82
2014-08-31 - 2014-09-06,83
2014-09-07 - 2014-09-13,87
2014-09-14 - 2014-09-20,95
2014-09-21 - 2014-09-27,94
2014-09-28 - 2014-10-04,89
2014-10-05 - 2014-10-11,93
2014-10-12 - 2014-10-18,93
2014-10-19 - 2014-10-25,90
2014-10-26 - 2014-11-01,91
2014-11-02 - 2014-11-08,89
2014-11-09 - 2014-11-15,90
2014-11-16 - 2014-11-22,90
2014-11-23 - 2014-11-29,63
2014-11-30 - 2014-12-06,81
2014-12-07 - 2014-12-13,82
2014-12-14 - 2014-12-20,73
2014-12-21 - 2014-12-27,46
2014-12-28 - 2015-01-03,45
2015-01-04 - 2015-01-10,74
2015-01-11 - 2015-01-17,77
2015-01-18 - 2015-01-24,82
2015-01-25 - 2015-01-31,87
2015-02-01 - 2015-02-07,84
2015-02-08 - 2015-02-14,83
2015-02-15 - 2015-02-21,83
2015-02-22 - 2015-02-28,92
2015-03-01 - 2015-03-07,86
2015-03-08 - 2015-03-14,89
2015-03-15 - 2015-03-21,87
2015-03-22 - 2015-03-28,98
2015-03-29 - 2015-04-04,100
2015-04-05 - 2015-04-11,91
2015-04-12 - 2015-04-18,89
2015-04-19 - 2015-04-25,89
2015-04-26 - 2015-05-02,95
2015-05-03 - 2015-05-09,87
2015-05-10 - 2015-05-16,83
2015-05-17 - 2015-05-23,85
2015-05-24 - 2015-05-30,75
2015-05-31 - 2015-06-06,87
2015-06-07 - 2015-06-13,82
2015-06-14 - 2015-06-20,82
2015-06-21 - 2015-06-27,86
2015-06-28 - 2015-07-04,73
2015-07-05 - 2015-07-11,79
2015-07-12 - 2015-07-18,77
2015-07-19 - 2015-07-25,78
2015-07-26 - 2015-08-01,78
2015-08-02 - 2015-08-08,76
2015-08-09 - 2015-08-15,77
2015-08-16 - 2015-08-22,80
2015-08-23 - 2015-08-29,82
2015-08-30 - 2015-09-05,81
2015-09-06 - 2015-09-12,84
2015-09-13 - 2015-09-19,81
2015-09-20 - 2015-09-26,87
2015-09-27 - 2015-10-03,89
2015-10-04 - 2015-10-10,88
2015-10-11 - 2015-10-17,89
2015-10-18 - 2015-10-24,88
2015-10-25 - 2015-10-31,85
2015-11-01 - 2015-11-07,89
2015-11-08 - 2015-11-14,83
2015-11-15 - 2015-11-21,81
2015-11-22 - 2015-11-28,61
2015-11-29 - 2015-12-05,77
2015-12-06 - 2015-12-12,73
2015-12-13 - 2015-12-19,68
2015-12-20 - 2015-12-26,48
2015-12-27 - 2016-01-02,45


Migliori sottoregioni per Big data
Sottoregione,Big data
Massachusetts,100
Maryland,81
New Jersey,77
Distretto di Columbia,75
California,75
New York,65
Connecticut,65
Delaware,63
Virginia,61
Washington,60
Oregon,60
Illinois,60
New Hampshire,54
Carolina del Nord,54
Colorado,51
Pennsylvania,50
Minnesota,50
Rhode Island,47
Texas,45
Georgia,44
Ohio,42
Indiana,42
Utah,41
Arizona,41
Missouri,39
Arkansas,39
Vermont,38
Iowa,35
Michigan,35
Kansas,35
Nevada,34
Nebraska,34
Wisconsin,33
Tennessee,30
Florida,29
Idaho,28
Kentucky,27
Hawaii,27
Nuovo Messico,27
Maine,27
Virginia Occidentale,25
Alabama,25
Montana,24
Oklahoma,24
Carolina del Sud,23
Dakota del Sud,21
Dakota del Nord,18
Louisiana,18
Alaska,14
Mississippi,14
Wyoming,0


Migliori aree metropolitane per Big data
Area metropolitana,Big data
San Francisco-Oakland-San Jose CA,100
Lafayette IN,92
Boston MA-Manchester NH,72
Champaign & Springfield-Decatur IL,63
Austin TX,59
Washington DC (Hagerstown MD),58
Ft. Smith-Fayetteville-Springdale-Rogers AR,57
Raleigh-Durham (Fayetteville) NC,55
Peoria-Bloomington IL,54
New York NY,53
Richmond-Petersburg VA,51
Gainesville FL,51
Charlottesville VA,49
Seattle-Tacoma WA,47
Portland OR,46
Dayton OH,44
Chicago IL,44
Baltimore MD,43
Hartford & New Haven CT,42
Columbus OH,42
Charlotte NC,42
Philadelphia PA,41
Monterey-Salinas CA,41
Atlanta GA,39
San Diego CA,39
Indianapolis IN,39
Dallas-Ft. Worth TX,38
Minneapolis-St. Paul MN,37
Denver CO,36
Cincinnati OH,35
Rochester NY,35
Johnstown-Altoona PA,35
Pittsburgh PA,35
Syracuse NY,34
South Bend-Elkhart IN,34
Buffalo NY,34
Lansing MI,33
Des Moines-Ames IA,33
Santa Barbara-Santa Maria-San Luis Obispo CA,32
Columbus GA,32
Salt Lake City UT,32
Providence RI-New Bedford MA,32
Charleston SC,32
Milwaukee WI,31
Butte-Bozeman MT,31
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,31
Springfield-Holyoke MA,31
Kansas City MO,31
Madison WI,30
Tallahassee FL-Thomasville GA,30
Los Angeles CA,30
Houston TX,30
Phoenix AZ,30
St. Louis MO,29
Detroit MI,29
Albany-Schenectady-Troy NY,29
Binghamton NY,29
Tucson (Sierra Vista) AZ,28
Rochester MN-Mason City IA-Austin MN,27
Reno NV,27
Topeka KS,26
Waco-Temple-Bryan TX,26
Omaha NE,26
Las Vegas NV,26
Knoxville TN,26
Missoula MT,25
Yakima-Pasco-Richland-Kennewick WA,25
Lubbock TX,25
Jacksonville FL,25
Eugene OR,24
Burlington VT-Plattsburgh NY,24
Columbia-Jefferson City MO,24
Boise ID,23
Bowling Green KY,23
Sacramento-Stockton-Modesto CA,23
Memphis TN,23
Fargo-Valley City ND,23
Greensboro-High Point-Winston Salem NC,23
Cleveland-Akron (Canton) OH,23
Albuquerque-Santa Fe NM,23
Bend OR,22
Colorado Springs-Pueblo CO,22
Sioux Falls(Mitchell) SD,22
Tampa-St. Petersburg (Sarasota) FL,22
Utica NY,21
Roanoke-Lynchburg VA,21
San Antonio TX,21
Nashville TN,21
Louisville KY,21
Little Rock-Pine Bluff AR,21
Greenville-Spartanburg SC-Asheville NC-Anderson SC,20
Huntsville-Decatur (Florence) AL,20
Tulsa OK,20
Orlando-Daytona Beach-Melbourne FL,19
Lincoln & Hastings-Kearney NE,19
West Palm Beach-Ft. Pierce FL,19
Spokane WA,19
Columbus-Tupelo-West Point MS,19
Lexington KY,19
Wilmington NC,18
Portland-Auburn ME,18
Grand Rapids-Kalamazoo-Battle Creek MI,18
Chattanooga TN,18
Savannah GA,18
Erie PA,18
Norfolk-Portsmouth-Newport News VA,18
Miami-Ft. Lauderdale FL,17
Harrisburg-Lancaster-Lebanon-York PA,17
Macon GA,17
Birmingham AL,17
Davenport IA-Rock Island-Moline IL,17
Columbia SC,17
Honolulu HI,17
Baton Rouge LA,16
Oklahoma City OK,16
Fresno-Visalia CA,16
Idaho Falls-Pocatello ID,15
Greenville-New Bern-Washington NC,15
Flint-Saginaw-Bay City MI,15
Ft. Myers-Naples FL,15
Springfield MO,14
Ft. Wayne IN,14
New Orleans LA,13
Montgomery (Selma) AL,12
Augusta GA,12
Toledo OH,12
El Paso TX,12
Bakersfield CA,12
Chico-Redding CA,11
Youngstown OH,11
Billings MT,11
Wichita-Hutchinson KS,11
Harlingen-Weslaco-Brownsville-McAllen TX,11
Wilkes Barre-Scranton PA,10
Rockford IL,10
Green Bay-Appleton WI,10
Florence-Myrtle Beach SC,10
Amarillo TX,9
Shreveport LA,9
Anchorage AK,8
Mobile AL-Pensacola (Ft. Walton Beach) FL,8
Jackson MS,7
Abilene-Sweetwater TX,6
Albany GA,0
Tri-Cities TN-VA,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Alpena MI,0
